url,Value,Contact_value,Address_value,Number,Description,Website,email
http://haldwanicity.com/coaching-ias-haldwani.php?page=2&bd=Coaching%20ias,"Nikumbh IAS INSTITUTE",NULL,"Gas Godam Chauraha Near Central Hospital Haldwani","9927304091, 8755070750"," ( By - Nikumbh & Upadhyay Sir) IAS, PCS, GS, CSAT, LT, NT, Group C, VDO & Other Exams Preparation.",NULL,NULL
http://haldwanicity.com/coaching-ias-haldwani.php?page=2&bd=Coaching%20ias,"Shiva IAS Academy",NULL,"Behind Hotel Devashish Nainital Road, Haldwani","8859906367, 8650648441","IAS, PCS, General Studies, CSAT, others SSC, CTET, Group C, UKSI",NULL,NULL
http://haldwanicity.com/english-coaching-haldwani.php?bd=English%20Institute,"English Edge Institute - Speak English",NULL,"Opp. Kurmanchal Bank, Mukhani Chauraha, Haldwani,Uttarakhand","8938942324, 9219529442"," (By Nikhil Kalra) Basic & Advance, separate batches for English & Hindi medium - Attend Free Demo Classes",NULL,NULL
http://haldwanicity.com/english-coaching-haldwani.php?bd=English%20Institute,"FUTURE FOUNDATION",NULL,"Talli Bamori, Near Khatoo Shyam Mandir, Mukhani Haldwani- Nainital",7409244447,"Personality Development & English Speaking Courses",NULL,NULL
http://haldwanicity.com/english-coaching-haldwani.php?bd=English%20Institute,"Metamorphosis ( Run By Nagendra S. Gangola )",NULL,"Milan Niwas, Behind Degree College, 1st lane after Big Mo's Restaurant, Johar Nagar, Bhotia Parao, Haldwani","7417566874, 05946220059","Net English Literature & JRF,LT,PD Classes,Corporate Trainings,Courses for competitive exams.",NULL,NULL
http://haldwanicity.com/english-coaching-haldwani.php?bd=English%20Institute,"PCI Academy English Speaking Institute",NULL,"Near to Gas Godown Chauraha, Behind Central Hospital, Ekta Vihar Phase - 3, Kusumkhera, Haldwani, Nainital, Uttarakhand",-9917126908,NULL,NULL,NULL
http://haldwanicity.com/computer-coaching-haldwani.php?bd=Computer%20Institute,"AITS Computer Education - (Govt. of India, ISO Certified Institution)",NULL,"8-409/1 Heera Nagar, Near Utthan Manch Haldwani Uttarakhand","9837457912, 9927099426","Basic Computer, HTML, Java, Internet, DTP, Tally",NULL,aits.computereducation2008@gmail.com
http://haldwanicity.com/computer-coaching-haldwani.php?bd=Computer%20Institute,"Animation & VFX Institute:- Maya Academy of Advanced Cinematics MAAC",NULL,"Mukhani Road, Haldwani",7535841842,"MAAC is a well-known Animation Academy that conducts training in 3D Animation & VFX.",NULL,NULL
http://haldwanicity.com/computer-coaching-haldwani.php?bd=Computer%20Institute,"COMPUSOFT - Computer Classes",NULL,"K C Villa, lane no.2 Rampur Road Haldwani",9639702178,"(Akanksha Agarwal)BCA, MCA, B.Tech(CS),MS Office,DOT NET, HTML & CSS,ORACLE,JAVA,VISUAL BASIC,C++, PYTHON and All subject tuition for classes I to VIII",NULL,NULL
http://haldwanicity.com/computer-coaching-haldwani.php?bd=Computer%20Institute,"FUTURE FOUNDATION",NULL,"1st floor ganga gaytri tower near v mart kaladhungi road Haldwani- Nainital",7409244447,"computer hardware,laptop repairing,chip level laptop,desktop repairing and basic computer tally web designing",NULL,NULL
http://haldwanicity.com/computer-coaching-haldwani.php?bd=Computer%20Institute,"NIIT Computer Institute",NULL,"Behind Stadium, Badripura Haldwani, Uttarakhand 263139","05946 280 036","NIIT Computer Education Institute",NULL,NULL
http://haldwanicity.com/computer-coaching-haldwani.php?bd=Computer%20Institute,"Pacific Training Institute",NULL,"Unchapul kaladhungi Road Haldwani",9837420003,"(Prakash Singh Mehta)Courses : DACS, CACS, CAFA, CDTP, CCH, CCA, DIT, DBC, DCT & Web Designing",NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"Aditya College (International Institute of Fashion Design)",NULL,"old uttarakhand open university, kaladhungi road Haldwani",9720180402,"International Institute of Fashion Design",NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"AIM (Institute of Hotel Management & Aviation)",NULL,"Bareilly Road, Goraparao, Haldwani, Nainital","7351720222, 7351820222","Hotel Management & Aviation Institute",NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"Animation & VFX Institute:- Maya Academy of Advanced Cinematics MAAC",NULL,"Mukhani Road, Haldwani",7535841842,"MAAC is a well-known Animation Academy that conducts training in 3D Animation & VFX.",NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"Dream Shapers Institute of Management Studies",NULL,"Top Floor, Durga City Centre","05946-283396, 9412102967","Diploma Courses for Retail & Hotel Management",NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"DVS INSTITUTE - Distance/Regular Courses from UGC-DEC-AICTE Approved University",NULL,"H. No.-209A, Radhikakunj, Officers Colony, Canal Road, Tikonia, Haldwani Nainital Uttarakhand","9997445410, 8909230563","All UG,PG,Diploma, PG Diploma & Technical Courses etc",NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"Government Girls Degree College",NULL,"Nawabi Road Haldwani Nainital","05946-284518, 05946-222225","Girls Degree College, Haldwani (Nainital)",NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,IGNOU,NULL,"COORDINATOR, M.B.P.G. College",05946-224300,"Courses : B.Ed., M.Ed. MBA, BBA, MCA, BCA",NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"Infusion college of Science & Technology",NULL,"ICST, Amrawati colony, Tally Bamori",05946-282288,NULL,NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"Jai Arihant Institute.",NULL,"Near Old I.T.I Bareilly Road","05946-245404, 9927945000",NULL,NULL,NULL
http://haldwanicity.com/colleges-haldwani.php?bd=College,"M.B.P.G.Degree College",NULL,"Nainital Road Haldwani",05946-222017,"Motiram Baburam Government Post Graduate (MBGPG) College, Haldwani, is a leading institution of higher education",NULL,NULL
http://haldwanicity.com/admission-haldwani.php?bd=admission,"Education Hub",NULL,"Near Bajrang Hero Showroom, Rampur Road Haldwani, Nainital Uttarakhand","9627457289, 8865091669","Deals in all Types of Admission & A to Z Education Solution",NULL,NULL
http://haldwanicity.com/fashion-coaching-haldwani.php?bd=Fashion%20Institute,"Aditya College (International Institute of Fashion Design)",NULL,"old uttarakhand open university, kaladhungi road Haldwani",9720180402,"Diploma in Fashion Designing, JOIN INIFD Haldwani & Secure your future : Inter National Institute of Fashion Design (INIFD), the world's largest Design Institute with over 180 centres.",NULL,NULL
http://haldwanicity.com/fashion-coaching-haldwani.php?bd=Fashion%20Institute,"Cambridge Air Hostess Academy",NULL,"Near Degree College, Nainital Road.",9897031252,NULL,NULL,NULL
http://haldwanicity.com/fashion-coaching-haldwani.php?bd=Fashion%20Institute,"Aditya College (International Institute of Fashion Design)",NULL,"old uttarakhand open university, kaladhungi road Haldwani",9720180402,"Diploma in Fashion Designing, JOIN INIFD Haldwani & Secure your future : Inter National Institute of Fashion Design (INIFD), the world's largest Design Institute with over 180 centres.",NULL,NULL
http://haldwanicity.com/fashion-coaching-haldwani.php?bd=Fashion%20Institute,"Cambridge Air Hostess Academy",NULL,"Near Degree College, Nainital Road.",9897031252,NULL,NULL,NULL
http://haldwanicity.com/fashion-coaching-haldwani.php?bd=Fashion%20Institute,"Aditya College (International Institute of Fashion Design)",NULL,"old uttarakhand open university, kaladhungi road Haldwani",9720180402,"Diploma in Fashion Designing, JOIN INIFD Haldwani & Secure your future : Inter National Institute of Fashion Design (INIFD), the world's largest Design Institute with over 180 centres.",NULL,NULL
http://haldwanicity.com/fashion-coaching-haldwani.php?bd=Fashion%20Institute,"Cambridge Air Hostess Academy",NULL,"Near Degree College, Nainital Road.",9897031252,NULL,NULL,NULL
http://haldwanicity.com/hostels-haldwani.php?bd=Hostel,"K.D. PAYING GUEST & BOYS HOSTEL",NULL,"Nawabi Road, Near Essar Petrol Pump Haldwani","9759712985, 9335147191, 8859907550","All modern facility available",NULL,NULL
http://haldwanicity.com/hostels-haldwani.php?bd=Hostel,"KESARI PG & BOYS HOSTEL",NULL,"Saktipuram Gali, Nawabi Road, Haldwani (Nainital)","9837193990, 8881428388","All Modern Facilities available for Boys.",NULL,NULL
http://haldwanicity.com/hostels-haldwani.php?bd=Hostel,"Naagar's PG/ Hostel (Boys & Girls)",NULL,"Savitri Colony, Opp. Laxmi Shishu mandir School, Bareilly road Haldwani Nainital","9761788882, 8057671211","All Modern Facilities available",NULL,NULL
http://haldwanicity.com/hostels-haldwani.php?bd=Hostel,"Naman Girls PG",NULL,"Behind MBPG College, Durga City Centre, Near NCC Quarter, Johar Nagar, Bhotia Parao, Haldwani","7417915024, 8859530107, 9410780007","Only for Girls (Coaching, College)",NULL,NULL
http://haldwanicity.com/hostels-haldwani.php?bd=Hostel,"NARAYANI GIRL'S HOSTEL (With Full Homely Facilities)",NULL,"Basant Vihar, Chhoti Mukhani, Haldwani.","9568591477, 9927519497",NULL,NULL,NULL
http://haldwanicity.com/hostels-haldwani.php?bd=Hostel,"Petals Girls PG",NULL,"Block B, C 24, Ganga Enclave, Behind Mahila Degree College, Nawabi Road, Haldwani.","+91 8449695600 or +91 8868866141","Best PG only for girls in Haldwani.",NULL,NULL
http://haldwanicity.com/hostels-haldwani.php?bd=Hostel,"VIBHU INN Hostel & PG",NULL,"Durga City Centre Haldwani",8057222999,"All modern facility available",NULL,NULL
http://haldwanicity.com/restaurants-haldwani.php?cat=Restaurants,"BIG MO'S CAF'E & Restaurant",NULL,"Behind Hotel Maharani, Bhotia Parao, Haldwani.","05946-224065, 8938940089, 9634060782","Please call us for Outdoor Caterings on any Events & Family Functions",NULL,NULL
http://haldwanicity.com/restaurants-haldwani.php?cat=Restaurants,"HOT CHOICE "" Chines Fast Food """,NULL,"Near St. Pauls Sr. Sec. School, Seeshmahal, Nainital Road,Haldwani.",8006506506,"Thukpa,Mo-mos,Burger,Spring roll,Manchurian Veg & Non-Veg",NULL,NULL
http://haldwanicity.com/restaurants-haldwani.php?cat=Restaurants,"Kapilaz Sweets & Restaurant",NULL,"Pilikoti, Kaladhungi Road Haldwani",05946-289549,NULL,NULL,NULL
http://haldwanicity.com/restaurants-haldwani.php?cat=Restaurants,"Nanak Restaurant",NULL,"Padmavati Tower Botiaparav, Haldwani.",05946-282228,NULL,NULL,NULL
http://haldwanicity.com/restaurants-haldwani.php?cat=Restaurants,"Shama Non-Vegetarian Restaurant",NULL,"Near Roadway Bus Stand Haldwani",05946-250569,NULL,NULL,NULL
http://haldwanicity.com/restaurants-haldwani.php?cat=Restaurants,"Sindhi Sweets & Restaurant",NULL,"Mangal Parao,Nainital Road Haldwani",05946-220300,NULL,NULL,NULL
http://haldwanicity.com/restaurants-haldwani.php?cat=Restaurants,"Standard Sweets & Restaurant",NULL,"Rampur Road ,Haldwani.",05946-220961,NULL,NULL,NULL
http://haldwanicity.com/service-haldwani.php?cat=Services,"G.T.D IT HUB COMPUTERS [secondhand laptop & desktop store (sales,service & repair)]",NULL,"45 punjabi colony satynarayan mandir gali(Behind Gurudwara)kaladhungi road haldwani",9557337777,"Deals in all kinds of secondhand laptops & computers (with 1years warranty) eg Pentium 4,douel core,core 2 doul,core i3,core i5 ,core i7 all types of computer and laptop available (new and old both)",NULL,NULL
http://haldwanicity.com/service-haldwani.php?cat=Services,"Mineral Water Services [Chearup]",NULL,"Volga Hotel, KMOU Station, Haldwani","9927050251,05946-250400","Drinking Water Suppliers in Haldwani(ISI Marked) 24*7 Home Delivery Service.",NULL,NULL
http://haldwanicity.com/service-haldwani.php?cat=Services,"TRIPLE 'A' MANAGEMENT SERVICES",NULL,"Karnatak Bhawan Sheesh Mahal, Nainital Road Kathgodam, Haldwani",8057912881-888,"Contact For Security & Manpower Services",NULL,NULL
http://haldwanicity.com/isp-haldwani.php?cat=ISP,"Sky Net Broadband",NULL,"1st floor, Nagar Palika Shopping Center, Tikonia, Nainital Road Haldwani","9690682301, 9690682103","A leading Internet service provider or Broadband Service provider",NULL,NULL
http://haldwanicity.com/isp-haldwani.php?cat=ISP,"Sky Net Broadband",NULL,"1st floor, Nagar Palika Shopping Center, Tikonia, Nainital Road Haldwani","9690682301, 9690682103","A leading Internet service provider or Broadband Service provider",NULL,NULL
http://haldwanicity.com/isp-haldwani.php?cat=ISP,"Sky Net Broadband",NULL,"1st floor, Nagar Palika Shopping Center, Tikonia, Nainital Road Haldwani","9690682301, 9690682103","A leading Internet service provider or Broadband Service provider",NULL,NULL
http://haldwanicity.com/isp-haldwani.php?cat=ISP,"Sky Net Broadband",NULL,"1st floor, Nagar Palika Shopping Center, Tikonia, Nainital Road Haldwani","9690682301, 9690682103","A leading Internet service provider or Broadband Service provider",NULL,NULL
http://haldwanicity.com/isp-haldwani.php?cat=ISP,"Sky Net Broadband",NULL,"1st floor, Nagar Palika Shopping Center, Tikonia, Nainital Road Haldwani","9690682301, 9690682103","A leading Internet service provider or Broadband Service provider",NULL,NULL
http://haldwanicity.com/isp-haldwani.php?cat=ISP,"Sky Net Broadband",NULL,"1st floor, Nagar Palika Shopping Center, Tikonia, Nainital Road Haldwani","9690682301, 9690682103","A leading Internet service provider or Broadband Service provider",NULL,NULL
http://haldwanicity.com/scentre-haldwani.php?cat=Scentre,"G.T.D IT HUB COMPUTERS [secondhand laptop & desktop store (sales,service & repair)]",NULL,"45 punjabi colony satynarayan mandir gali(Behind Gurudwara)kaladhungi road haldwani",9557337777,"Deals in all kinds of secondhand laptops & computers (with 1years warranty) eg Pentium 4,douel core,core 2 doul,core i3,core i5 ,core i7 all types of computer and laptop available (new and old both)",NULL,NULL
http://haldwanicity.com/scentre-haldwani.php?cat=Scentre,"HP Service Centre",NULL,"Shop No. 7, Opposite Old Bajpur Bus Stand, Nawabi Road, Near Old Bajpur Bus Stand Haldwani Uttarakhand, India.",05946-281041,"Service Centre : Laptops, Tablets, Desktops, Compaq Desktop PCs, Monitors, Printers, Ink, Toner, Scanners",NULL,NULL
http://haldwanicity.com/scentre-haldwani.php?cat=Scentre,"Karbonn Service Centre",NULL,"Nainital Road, Behind Obc Bank, Church Compound, Haldwani",9837458396,"Products Serviced : Mobile Phones, Smartphones, Android Phones, Windows Phone, Tablets.",NULL,NULL
http://haldwanicity.com/scentre-haldwani.php?cat=Scentre,"Micromax Mobile Service Center",NULL,"Church Compound, Near Oriental Bank, Nainital Road, Haldwani, Uttarakhand - 263139","05946-220185, 9837458396","service for products like Touch Phones, Smarthphones, Android Phones, Windows Phones, Tablets, Canvas Phones, Pixel, Bolt phones, Smarty 3.5, Ninja, Smarty 4.3, Datacard, Funbook, LED TV, LCD TV Toll free Number : 1860 5008 286",NULL,NULL
http://haldwanicity.com/scentre-haldwani.php?cat=Scentre,"Nokia Service Center",NULL,"Uttranchal Trade Center, Shop No.3, Tikonia, Haldwani- 263139, Uttarakhand","05946-310666, 9837038268","Servicing of all types of Nokia Handset.",NULL,NULL
http://haldwanicity.com/scentre-haldwani.php?cat=Scentre,"Samsung Mobile Service Centre",NULL,"Near Delhi Rubber Stamp,kala Dhungi, Mukhani Chauraha Haldwani","05946-254111, 324846","Samsung Mobile Phone, Tablet Galaxy Tab, Galaxy Note, Smartphone Galaxy S4, Galaxy S3, Galaxy Grand, Galaxy Series, Smart Feature Phones Rex Series, Dual Sim Phones, Qwerty Messaging Phone, CDMA Phone",NULL,NULL
http://haldwanicity.com/scentre-haldwani.php?cat=Scentre,"Sony Ericsson Service Center",NULL,"Fairdeal Agencies 1ST FLOOR, UTTARANCHAL TRADE CENTRE, TIKONIA, HALDWANI",05946-282116,"Servicing for products like Sony Xperia, W Series, K Series, S Series, Accessories-Stereo Bluetooth Headset, Adapters, Wireless Headsets, Stereo Headsets, Tablet � Xperia Tablet Series.",NULL,NULL
http://haldwanicity.com/scentre-haldwani.php?cat=Scentre,"Voltas AC Service Centre",NULL,"Opposite Municipal Board , Nanital Road Haldwani Uttarakhand, India.",9837490005,"Products Serviced by the Service Centre : Air conditioners,Chest coolers,Deep freezers,Visi coolers,Water coolers,Water dispensers",NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Ashirwad Hotel",NULL,"Naya Bazar.",05946-255567,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Ashok Hotel",NULL,"Near Roadways Bus Stand.",05946-251292,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Garib Nawaz Hotel",NULL,"Tanakpur Road.",05946-254508,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Hotel Anand Lok",NULL,"Near Transport Nagar,Rampur Road.",05946-235962,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Hotel Kanta",NULL,"Kanta Complex, Mangal Parao, Bareilly Road.",05946-251990,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Hotel Karan",NULL,"Railway Bazar","05946-2250183, 251113",NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Hotel Laxmi Narayan",NULL,"Naya Bazar.",05946-255333,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Hotel Nagpal Tower",NULL,"Mangal Parao, Bareilly Road.",05946-252395,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Hotel Narula",NULL,"Nainital Road Tikonia",05946-224459,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?cat=Hotel,"Hotel Natraj",NULL,"Kaladhungi Road.",05946-221180,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Hotel New Ashok",NULL,"Rampur Road",05946-220231,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Hotel Park Square",NULL,"Rampur Road, Near Panchayat Ghar","05946-234676, 09756914048,9012033332","Best Budget Hotel , For Instant Booking call @ 0",NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Hotel Prakash",NULL,"Near Ramleela Ground",05946-253023,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Hotel President",NULL,"Sharda Market",05946-250365,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Hotel Satya",NULL,"Meera Marg",05946-251001,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Hotel Shri Krishna",NULL,"Sahukara Line",05946-250066,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Jadjish Hotel",NULL,"Railway Bazar",05946-251145,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Jai Guru Hotel",NULL,"Near Saras Marketing Centre, Nainital Road",05946-251435,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"Nanak Hotel",NULL,"Mangal Parao, Bareilly Road.",05946-252388,"Best hotel, Best Rates, For booking call @09690465570",NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=2&cat=Hotel&subcat=,"OK Hotel",NULL,"Near Base Hospital,Sahukara Line.",05946-250170,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=3&cat=Hotel&subcat=,"Param Tourist Lodge",NULL,"Near Railway Station, Kathgodam",05946-329698,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=3&cat=Hotel&subcat=,"Santushti Hotel",NULL,"Nainital Road.",05946-222052,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=3&cat=Hotel&subcat=,"Shehnai Lodging",NULL,"Kaladhungi Road",05946-254578,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=3&cat=Hotel&subcat=,"Sourab Comfort Inn",NULL,"Awas Vikas, Nainital Road",05946-222371,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=3&cat=Hotel&subcat=,"Tourist Rest House",NULL,"Near Railway Station Kathgodam",05946-266090,NULL,NULL,NULL
http://haldwanicity.com/hotels-haldwani.php?page=3&cat=Hotel&subcat=,"White Ribecca & Janta Banquet",NULL,"Near Beersheba School, Nainital Road",05946-221878,NULL,NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Ansarari Cloth House",NULL,"Sharda Market",05946-251299,"Deals in all Types of Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Anshari Handlum",NULL,"Patel chook",9758493529,"Clothing, Wollen & Hoisery Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,Bahurani,NULL,"Sahurara Line",05946-251324,"Deals in all Types of Ladies Saries",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Charlie Out Law",NULL,"Nainital Road",05946-325554,"Ready made garments, Wollen & Hoisery Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Chetriya Shri Gandhi Ashram",NULL,"Sahukara Line",05946-250133,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Das Vastralay",NULL,"Bareilly Road",05946-252278,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Fashion Gallery",NULL,"Kaladhungi Road",05946-282820,"Wollen & Hoisery Garments, Ready Made Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Fashion Paredan",NULL,"Patel Chowk",98971225331,"Deals in all Types of Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Lee Cooper",NULL,"Nainital Road Haldwani",05946-251048,"Ready made garments, Wollen & Hoisery Garments, Foot wear",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?cat=Apparels&subcat=Clothing,"Matching Center",NULL,"Patel Chowk",05946-250806,"Deals in all Types of Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Mitaro Ki Dukhan",NULL,"Naya Bazar",05946-250045,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Naini Emporium",NULL,"Sharda Market",05946-255169,"Deals in all Types of Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,Saheli,NULL,"Chock Bazar",05946-251600,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Sardar Sons Exclusive",NULL,"Sarda Market",05946-251048,"Wollen & Hoisery Garments, Ready made garments, Foot wear",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Swarn Lal & Sons",NULL,"Naya Bazaar",05946-251478,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Three Sons",NULL,"Sharda Market",06946-250033,"Wollen & Hoisery Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,Trendz,NULL,"Opp. Bank Of Baroda, Nainital Road",05946-281919,"Ready Made Garments, Unstitched Material",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Universal Cloth House",NULL,"Khand Chand Market",05946-224497,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Mitaro Ki Dukhan",NULL,"Naya Bazar",05946-250045,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Naini Emporium",NULL,"Sharda Market",05946-255169,"Deals in all Types of Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,Saheli,NULL,"Chock Bazar",05946-251600,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Sardar Sons Exclusive",NULL,"Sarda Market",05946-251048,"Wollen & Hoisery Garments, Ready made garments, Foot wear",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Swarn Lal & Sons",NULL,"Naya Bazaar",05946-251478,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Three Sons",NULL,"Sharda Market",06946-250033,"Wollen & Hoisery Garments",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,Trendz,NULL,"Opp. Bank Of Baroda, Nainital Road",05946-281919,"Ready Made Garments, Unstitched Material",NULL,NULL
http://haldwanicity.com/clothing-haldwani.php?page=2&cat=Apparels&subcat=Clothing,"Universal Cloth House",NULL,"Khand Chand Market",05946-224497,"Deals in all Types of Clothing",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,"Boot Wala",NULL,"Karkhana Bazar",05946-251017,"Deals in all Types of Footwear",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,"K.K. Boot House",NULL,"Kidwai Nagar",05946-250525,"Deals in all Types of Footwear",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,"KHADIM'S Footwear",NULL,"Opp. Degree College Near Krishna Hospital Thandi Sadak, Nainital Road Haldwani",8954444586,"Deals in all Types of Footwear",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,"Ladies Collection",NULL,"Meera Marg, Near Hotel Satya",05946-251258,"Deals in all Types of Ladies Footwear",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,"Liberty exclusive show room",NULL,"S no. 9 Guru Nanak Market",05946-222975,"Deals in Liberty Footwear",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,"Modern Boot House",NULL,"Karkhana Bazaar",05946-255664,"Deals in all Types of Footwear",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,Paduka,NULL,"Mangal Parao",05946-224447,"Deals in all Types of Footwear",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,"Royal Boot House",NULL,"Patel Chowk",05946-250750,"Deals in all Types of Footwear",NULL,NULL
http://haldwanicity.com/footwear-haldwani.php?cat=Apparels&subcat=Footwear,"Shoe Kemp",NULL,"Karkhana Bazar",05946-250665,"Deals in all Types of Footwear",NULL,NULL
http://haldwanicity.com/two-vehicle-haldwani.php?cat=Vehicle&subcat=Two%20Wheeler,"Ambika TVS",NULL,"Tehri Pulia, Nainital Road",05946-283124,"TVS Bikes",NULL,NULL
http://haldwanicity.com/two-vehicle-haldwani.php?cat=Vehicle&subcat=Two%20Wheeler,"Ambika TVS",NULL,"Rampur Road",05946-234499,"TVS Bikes",NULL,NULL
http://haldwanicity.com/two-vehicle-haldwani.php?cat=Vehicle&subcat=Two%20Wheeler,"Bajrang Automobiles",NULL,"Rampur Road.",05946-234248,"Hero Honda Bikes",NULL,NULL
http://haldwanicity.com/two-vehicle-haldwani.php?cat=Vehicle&subcat=Two%20Wheeler,"Balaji Honda",NULL,"Navin Mandi, Barielly Road",05946-251546,"Honda Bikes & Scooters",NULL,NULL
